epoch,loss,output_loss,output_recon_loss,val_loss,val_output_loss,val_output_recon_loss
0,0.490915507431,0.49086292285,0.105168351305,0.429984818029,0.429942615557,0.0844033881187
1,0.418607719812,0.418568456564,0.0785267427921,0.406639276171,0.406601791239,0.0749706608057
2,0.397618734884,0.397582579222,0.0723115639639,0.388084968948,0.388050385046,0.0691670937538
3,0.387477204609,0.387443510351,0.067388464973,0.39068563242,0.390652435064,0.0663949234128
4,0.377373909216,0.377342072124,0.0636749572098,0.379060140181,0.379029173756,0.0619328045607
5,0.369797422667,0.369767253714,0.0603380363238,0.377887730169,0.377858221054,0.0590195844889
6,0.36331494813,0.363285494947,0.0589067869937,0.388241528559,0.388212477875,0.0581008797884
7,0.358142276621,0.358113530512,0.0574935054517,0.364530296516,0.36450212841,0.056336007458
8,0.351512494574,0.351484401608,0.056185997622,0.35834636898,0.358318796587,0.0551450834572
9,0.345573383446,0.345545887547,0.054990952177,0.350888537407,0.350861503267,0.0540677125871
10,0.340332072325,0.340304972763,0.0541990936244,0.367097177601,0.367070300388,0.053755480504
11,0.335759406071,0.335732504482,0.0538025340128,0.391478871918,0.391451313686,0.0551172243595
12,0.329454054499,0.329427438831,0.0532301994622,0.354482653093,0.354456188965,0.052929121542
13,0.326317443171,0.326291009855,0.052866268723,0.344353779697,0.344327642536,0.0522730387092
14,0.31743413517,0.317407933149,0.0524043030834,0.348839689159,0.348813903999,0.0515696251035
15,0.313390073919,0.313364082584,0.0519833850765,0.342550130272,0.342524283218,0.0516940843225
16,0.306720859795,0.306695032873,0.051654493556,0.345198447657,0.345172363377,0.0521681245089
17,0.303185886188,0.303160153627,0.051465423038,0.338311034727,0.338285576534,0.0509172480941
18,0.296647353168,0.296621764078,0.0511785485756,0.348740917397,0.348715116024,0.0516017738819
19,0.291704039621,0.291678521557,0.0510370802855,0.356528158379,0.356502405739,0.0515050845861
