epoch,loss,output_acc,output_loss,output_recon_acc,output_recon_loss,val_loss,val_output_acc,val_output_loss,val_output_recon_acc,val_output_recon_loss
0,0.443893971634,0.30632,0.443846408501,0.471144238281,0.0951264856791,0.405476028681,0.3825,0.405433381224,0.510295214844,0.0852946574092
1,0.38765762188,0.41044,0.387615690022,0.517358730469,0.0838637017918,0.38192395277,0.4113,0.38188304224,0.52493125,0.0818195528984
2,0.367658081112,0.44628,0.367618331556,0.528006738281,0.0794987939715,0.364526042461,0.4499,0.364487867641,0.526099023438,0.0763495027065
3,0.354156505265,0.46914,0.354119290848,0.536820449219,0.0744291514921,0.356667511892,0.4614,0.356631308699,0.525550976563,0.0724056455374
4,0.343278009033,0.48772,0.34324254323,0.540006464844,0.0709310276985,0.34173967824,0.4879,0.341705065918,0.544581542969,0.0692241804838
5,0.335038796816,0.5014,0.335004782495,0.543380820313,0.0680284629679,0.337797957373,0.4959,0.337764621449,0.549571484375,0.0666719386578
6,0.326982075367,0.5146,0.326949199429,0.546841640625,0.0657518431377,0.336097434425,0.495,0.336065187693,0.54855234375,0.0644947461724
7,0.318970590992,0.52984,0.3189388976,0.548655546875,0.0633867623687,0.329223520184,0.5109,0.329192391014,0.550748144531,0.0622566421628
8,0.312309776292,0.53994,0.312278951569,0.550980078125,0.0616498032451,0.327915442181,0.5134,0.327885164833,0.551695410156,0.0605543047786
9,0.304615991669,0.5544,0.304585957289,0.554101855469,0.0600685853183,0.329482972813,0.5116,0.329453498363,0.555555761719,0.0589483152986
10,0.29872470191,0.56484,0.298695421619,0.556269589844,0.0585616030502,0.326351475668,0.5158,0.32632258544,0.544661523437,0.0577804805815
11,0.293369816742,0.57576,0.293341200037,0.555499160156,0.0572338425589,0.325541472006,0.5248,0.325513018847,0.553894238281,0.0569046074748
12,0.286902215552,0.58622,0.286874062543,0.559255742187,0.0563062381625,0.326723851681,0.5224,0.326695811939,0.557827636719,0.0560789115667
13,0.281912618437,0.59388,0.281884765906,0.560592851563,0.0557048693931,0.326984294653,0.5248,0.326956813669,0.560331738281,0.0549622145593
14,0.275093576326,0.60658,0.275066052027,0.5627059375,0.0550492595351,0.324607236576,0.5283,0.324579977703,0.554364550781,0.0545197013438
15,0.269488212271,0.61758,0.269461001453,0.564232890625,0.0544215850842,0.325313715935,0.526,0.325286755705,0.56834453125,0.0539204247236
16,0.262687167668,0.62862,0.262660237303,0.565864667969,0.0538606160808,0.325310069942,0.5297,0.325283432722,0.567365039063,0.0532734454513
17,0.257843477778,0.63722,0.257816739769,0.566523554688,0.0534762617242,0.326312641048,0.527,0.326286035347,0.561799804688,0.0532126831651
18,0.251488381371,0.64872,0.251461755791,0.567278808594,0.0532517484474,0.330801495409,0.5241,0.330774969959,0.559063183594,0.0530507861972
19,0.244995909457,0.66042,0.24496942286,0.56804921875,0.0529732407773,0.324551378441,0.5384,0.324524862719,0.561819140625,0.0530302175045
20,0.240823791356,0.66648,0.240797343702,0.568708339844,0.0528951621866,0.325034010935,0.5376,0.325007552576,0.554142089844,0.0529190734744
21,0.234928390579,0.67824,0.234901985188,0.569144316406,0.0528110386038,0.329073398876,0.5332,0.329046661901,0.565401757813,0.053472153002
22,0.229944683671,0.68868,0.229918373418,0.569777441406,0.0526206241608,0.329887896585,0.534,0.329861375332,0.561134765625,0.053043162322
23,0.224649971128,0.6954,0.224623676,0.569123007813,0.0525899690652,0.33310120945,0.534,0.333074427128,0.568157128906,0.0535653240323
24,0.219214769411,0.70724,0.219188512573,0.570203242187,0.052513503058,0.334513147163,0.5362,0.334486951637,0.566914160156,0.0523909831882
25,0.213713311486,0.71328,0.213687099595,0.569154277344,0.052423598938,0.332824552631,0.5387,0.332798160601,0.568728320312,0.052782860291
26,0.207632641516,0.72586,0.207606378617,0.569091738281,0.0525256534195,0.331862805414,0.5426,0.331836238098,0.570114746094,0.0531350016594
27,0.202905852239,0.73482,0.202879610114,0.570146816406,0.0524841230369,0.33839796629,0.5288,0.338371423769,0.566204492188,0.0530830879688
28,0.197381584616,0.74384,0.197355341358,0.5702378125,0.052486778574,0.346512115955,0.5231,0.346485455847,0.560913476563,0.0533219398201
29,0.192289519691,0.75346,0.192263291678,0.569615605469,0.0524560310626,0.344248829651,0.5337,0.34422203455,0.56072265625,0.0535905834675
30,0.187070559921,0.7622,0.187044308009,0.569538613281,0.0525036891007,0.343506010246,0.533,0.343479267836,0.558165039063,0.0534839244485
31,0.181662146425,0.7722,0.181635924153,0.570502597656,0.0524448671556,0.347127206135,0.5344,0.347100383329,0.560122265625,0.0536464997947
32,0.17740174716,0.77946,0.177375486708,0.570117890625,0.0525208278799,0.354211777973,0.5249,0.354184923697,0.559386914062,0.0537093008995
