epoch,loss,out_recon_loss,output_acc,output_loss,val_loss,val_out_recon_loss,val_output_acc,val_output_loss
0,0.471938103437,0.0547776420147,0.296734775641,0.466460338464,0.401430146885,0.0478978317082,0.4226,0.396640363216
1,0.395112968988,0.0481609050824,0.42384504333,0.390296878142,0.365406311607,0.0461447135329,0.4835,0.360791840792
2,0.373318954341,0.0467121775382,0.46242380496,0.368647736523,0.352446881437,0.0456511959553,0.4968,0.347881761265
3,0.356862589617,0.0447295119112,0.49546839914,0.352389638188,0.335656882524,0.0438418581486,0.5374,0.331272696972
4,0.342112112483,0.04331929447,0.521515078563,0.337780182852,0.323784284687,0.0428106823504,0.551,0.319503215837
